epoch	time	lr	train loss	train acc	testloss	test acc
0	0:5	0.1	5.57	6.35	4.72	13.9
1	0:5	0.1	3.81	23.7	3.71	29.5
2	0:5	0.1	3.13	34.2	2.88	36.9
3	0:5	0.1	2.79	39.9	2.47	44.3
4	0:5	0.1	2.6	43.2	2.3	47.5
5	0:5	0.1	2.47	45.5	2.27	48.0
6	0:5	0.1	2.39	47.0	2.27	47.8
7	0:5	0.1	2.32	48.3	2.18	49.8
8	0:5	0.1	2.27	49.3	2.05	51.9
9	0:5	0.1	2.23	50.0	2.11	50.7
10	0:5	0.1	2.19	50.6	2.02	53.0
11	0:5	0.1	2.17	51.2	2.04	52.2
12	0:5	0.1	2.14	51.6	2.03	52.6
13	0:5	0.1	2.12	52.1	2.1	51.3
14	0:5	0.1	2.11	52.4	1.91	55.0
15	1:0	0.1	2.09	52.6	1.89	55.4
16	1:0	0.1	2.07	52.9	2.08	51.8
17	1:0	0.1	2.06	53.1	1.82	56.7
18	0:5	0.1	2.05	53.4	1.98	54.0
19	0:5	0.1	2.05	53.5	2.01	52.9
20	0:5	0.1	2.03	53.7	1.88	55.2
21	0:5	0.1	2.02	54.0	1.85	56.3
22	0:5	0.1	2.02	54.0	1.88	55.5
23	0:5	0.1	2.01	54.1	1.79	57.2
24	0:5	0.1	2.01	54.3	1.82	56.5
25	0:5	0.1	2.0	54.3	1.8	57.0
26	1:0	0.1	1.99	54.6	1.79	57.3
27	0:5	0.1	1.99	54.7	1.88	55.8
28	0:5	0.1	1.99	54.7	1.77	57.6
29	0:5	0.1	1.98	54.8	1.84	56.3
30	0:5	0.01	1.52	64.5	1.2	69.9
31	0:5	0.01	1.42	66.6	1.17	70.8
32	0:5	0.01	1.37	67.5	1.15	71.1
33	0:5	0.01	1.35	68.0	1.14	71.5
34	0:5	0.01	1.33	68.5	1.14	71.4
35	0:5	0.01	1.31	68.7	1.16	70.9
36	0:5	0.01	1.3	69.0	1.13	71.6
37	0:5	0.01	1.29	69.2	1.12	72.0
38	0:5	0.01	1.28	69.4	1.11	72.0
39	0:5	0.01	1.28	69.5	1.14	71.6
40	0:5	0.01	1.27	69.5	1.11	71.9
41	0:5	0.01	1.27	69.7	1.14	71.4
42	0:5	0.01	1.26	69.7	1.15	71.2
43	0:5	0.01	1.26	69.8	1.13	71.6
44	0:5	0.01	1.26	69.8	1.16	70.9
45	0:5	0.01	1.26	69.8	1.13	71.6
46	0:5	0.01	1.26	69.8	1.16	70.9
47	0:5	0.01	1.26	69.8	1.14	71.4
48	0:5	0.01	1.25	69.9	1.13	71.8
49	0:5	0.01	1.26	69.9	1.15	71.1
50	0:5	0.01	1.25	69.8	1.14	71.4
51	0:5	0.01	1.25	69.9	1.14	71.5
52	0:5	0.01	1.25	69.9	1.16	71.2
53	0:5	0.01	1.25	69.9	1.2	70.1
54	0:5	0.01	1.25	69.9	1.15	71.0
55	0:5	0.01	1.25	70.0	1.17	70.6
56	0:5	0.01	1.25	70.0	1.19	70.2
57	0:5	0.01	1.25	70.0	1.15	71.2
58	0:5	0.01	1.25	70.0	1.16	71.1
59	0:5	0.01	1.24	70.1	1.2	70.2
60	0:5	0.001	1.08	74.0	0.998	74.7
61	0:5	0.001	1.03	75.0	0.987	75.1
62	0:5	0.001	1.01	75.4	0.983	75.1
63	0:5	0.001	1.0	75.6	0.978	75.4
64	0:5	0.001	0.99	75.9	0.976	75.4
65	0:5	0.001	0.982	76.1	0.975	75.4
66	0:5	0.001	0.975	76.3	0.972	75.4
67	0:5	0.001	0.971	76.4	0.97	75.5
68	1:0	0.001	0.962	76.6	0.968	75.5
69	0:5	0.001	0.957	76.7	0.967	75.6
70	0:5	0.001	0.953	76.8	0.97	75.5
71	0:5	0.001	0.947	76.9	0.967	75.6
72	0:5	0.001	0.945	76.9	0.967	75.6
73	0:5	0.001	0.939	77.1	0.964	75.7
74	0:5	0.001	0.937	77.1	0.967	75.7
75	0:5	0.001	0.932	77.3	0.969	75.6
76	0:5	0.001	0.929	77.3	0.967	75.7
77	0:5	0.001	0.926	77.4	0.966	75.8
78	0:5	0.001	0.921	77.5	0.966	75.8
79	0:5	0.001	0.92	77.5	0.967	75.7
80	0:5	0.001	0.915	77.7	0.964	75.8
81	0:5	0.001	0.912	77.7	0.965	75.8
82	0:5	0.001	0.91	77.8	0.966	75.8
83	0:5	0.001	0.907	77.8	0.962	75.8
84	0:5	0.001	0.902	77.9	0.968	75.6
85	0:5	0.001	0.899	78.0	0.966	75.7
86	0:5	0.001	0.899	78.1	0.962	75.8
87	0:5	0.001	0.894	78.1	0.965	75.9
88	0:5	0.001	0.893	78.1	0.966	75.7
89	0:5	0.001	0.889	78.2	0.969	75.7
